date,pump_index,std_rush_order,avg_rush_order,std_trades,std_volume,avg_volume,std_price,avg_price,avg_price_max,hour_sin,hour_cos,minute_sin,minute_cos,symbol,gt
2018-12-30 17:00:00,0,0.579,0.075,0.833,2.163,0.361,0.004,0.003,0.004,-0.998,-0.068,0.0,1.0,BRD,1
2019-04-08 16:30:00,1,2.302,0.224,5.399,13.891,1.434,0.047,0.015,0.025,-0.942,-0.335,-0.053,-0.999,NEBL,1
2018-10-13 19:00:00,2,1.129,0.171,1.548,4.76,0.467,0.004,0.006,0.009,-0.888,0.46,0.0,1.0,EDO,1
2018-06-27 17:00:00,3,1.756,0.142,2.075,13.028,1.107,0.02,0.019,0.029,-0.998,-0.068,0.0,1.0,ICN,1
2018-10-17 19:00:50,4,3.216,0.315,4.568,10.126,1.523,0.201,0.028,0.059,-0.888,0.46,0.0,1.0,POLY,1
2019-10-03 14:59:35,5,0.21,0.042,0.218,0.037,0.043,0.001,0.001,0.002,-0.631,-0.776,-0.0,1.0,BRD,1
2020-10-21 18:00:00,6,0.504,0.058,2.012,3.953,0.368,0.019,0.016,0.023,-0.979,0.203,0.0,1.0,PPT,1
2020-03-27 21:00:00,7,0.121,0.048,0.413,0.12,0.061,0.005,0.014,0.018,-0.52,0.854,0.0,1.0,FUEL,1
2020-09-04 16:00:00,8,0.139,0.058,0.181,0.001,0.01,-0.0,0.005,0.006,-0.942,-0.335,0.0,1.0,SNM,1
2018-04-14 17:00:25,9,9.752,0.604,16.068,22.763,2.287,0.228,0.053,0.093,-0.998,-0.068,0.0,1.0,TNT,1
2019-02-02 17:58:20,10,0.755,0.092,0.913,1.234,0.237,0.007,0.006,0.009,-0.998,-0.068,-0.106,0.994,GRS,1
2019-07-19 17:00:00,11,0.553,0.087,0.433,1.056,0.147,0.003,0.005,0.009,-0.998,-0.068,0.0,1.0,BTS,1
2020-04-13 11:58:20,12,0.569,0.111,0.856,1.341,0.301,0.026,0.011,0.018,0.136,-0.991,-0.106,0.994,VITE,1
2020-03-26 15:59:35,13,0.951,0.12,0.763,1.284,0.278,0.025,0.019,0.023,-0.817,-0.577,-0.0,1.0,EDO,1
2020-04-10 16:00:00,14,1.707,0.186,2.302,10.356,1.025,0.04,0.011,0.019,-0.942,-0.335,0.0,1.0,GNT,1
2019-08-07 16:59:35,15,0.345,0.096,0.027,0.541,0.126,0.006,0.014,0.021,-0.942,-0.335,-0.0,1.0,SNM,1
2019-03-05 16:30:00,16,3.732,0.338,5.334,12.15,1.342,0.147,0.011,0.025,-0.942,-0.335,-0.053,-0.999,GRS,1
2020-11-27 21:00:00,17,0.255,0.041,0.744,0.882,0.184,0.005,0.003,0.007,-0.52,0.854,0.0,1.0,MDA,1
2018-10-14 19:00:25,18,0.125,0.034,0.085,0.225,0.051,0.003,0.002,0.003,-0.888,0.46,0.0,1.0,REQ,1
2020-11-09 16:00:00,19,0.379,0.135,0.728,2.151,0.37,0.034,0.019,0.034,-0.942,-0.335,0.0,1.0,BRD,1
